2015.04.13,14:15,1.46324,1.46432,1.46306,1.46397,2929
2015.04.13,14:20,1.46397,1.46428,1.46345,1.46368,2051
2015.04.13,14:25,1.46369,1.46394,1.46346,1.46386,2717
2015.04.13,14:30,1.46383,1.46471,1.46362,1.46464,2441
2015.04.13,14:35,1.46466,1.46564,1.46448,1.46465,2365
2015.04.13,14:40,1.46465,1.4651,1.46431,1.46489,2076
2015.04.13,14:45,1.46489,1.46532,1.46462,1.46486,2111
2015.04.13,14:50,1.46487,1.46501,1.46415,1.46456,2681
2015.04.13,14:55,1.46456,1.46525,1.46383,1.46422,2692
2015.04.13,15:00,1.46425,1.46506,1.46387,1.46476,2992
2015.04.13,15:05,1.46478,1.46494,1.46356,1.4644,2324
2015.04.13,15:10,1.46439,1.46535,1.46417,1.46531,2563
2015.04.13,15:15,1.46529,1.4661,1.46508,1.46515,2873
2015.04.13,15:20,1.46515,1.46552,1.46486,1.4655,1994
2015.04.13,15:25,1.4655,1.46587,1.46509,1.46534,2477
2015.04.13,15:30,1.46534,1.46606,1.46528,1.46601,2662
2015.04.13,15:35,1.46594,1.46642,1.46592,1.46602,1874
2015.04.13,15:40,1.46602,1.46624,1.46553,1.46561,1759
2015.04.13,15:45,1.4656,1.4658,1.46506,1.46536,1934
2015.04.13,15:50,1.46535,1.4654,1.46417,1.46455,2243
2015.04.13,15:55,1.46456,1.46574,1.46452,1.46539,2000
2015.04.13,16:00,1.46539,1.4664,1.46539,1.46586,1177
2015.04.13,16:05,1.46586,1.46654,1.46574,1.46645,952
2015.04.13,16:10,1.46646,1.46646,1.4658,1.46628,944
2015.04.13,16:15,1.46629,1.4671,1.46629,1.46701,867
2015.04.13,16:20,1.46701,1.46787,1.46701,1.46776,1168
2015.04.13,16:25,1.46776,1.468,1.46729,1.46772,1011
2015.04.13,16:30,1.46766,1.46811,1.46744,1.46762,1150
2015.04.13,16:35,1.46764,1.46774,1.46686,1.46724,745
2015.04.13,16:40,1.46723,1.46734,1.46622,1.46649,940
2015.04.13,16:45,1.46654,1.46753,1.46651,1.46718,773
2015.04.13,16:50,1.46715,1.46715,1.46643,1.46689,786
2015.04.13,16:55,1.46689,1.46704,1.46649,1.46674,984
2015.04.13,17:00,1.46676,1.4673,1.46651,1.46729,1016
2015.04.13,17:05,1.46728,1.46738,1.46668,1.46701,869
2015.04.13,17:10,1.46702,1.46736,1.46687,1.46716,673
2015.04.13,17:15,1.46719,1.46731,1.46691,1.46727,579
2015.04.13,17:20,1.46727,1.46772,1.46715,1.46741,619
2015.04.13,17:25,1.46743,1.46758,1.46694,1.46697,761
2015.04.13,17:30,1.46698,1.46728,1.46694,1.46719,615
2015.04.13,17:35,1.46719,1.46739,1.46682,1.46735,701
2015.04.13,17:40,1.46735,1.46737,1.46698,1.46733,636
2015.04.13,17:45,1.46733,1.46749,1.46699,1.46724,855
2015.04.13,17:50,1.46724,1.46724,1.46663,1.46675,816
2015.04.13,17:55,1.46675,1.467,1.46613,1.46665,831
2015.04.13,18:00,1.46666,1.4669,1.46647,1.4669,702
2015.04.13,18:05,1.4669,1.46705,1.46642,1.46695,738
2015.04.13,18:10,1.46695,1.4674,1.46668,1.46736,714
2015.04.13,18:15,1.46737,1.46765,1.46736,1.46752,472
2015.04.13,18:20,1.46751,1.46766,1.46743,1.46755,437
2015.04.13,18:25,1.46755,1.46762,1.46718,1.46721,689
2015.04.13,18:30,1.46721,1.46726,1.46707,1.46722,386
2015.04.13,18:35,1.46722,1.46731,1.46716,1.46723,558
2015.04.13,18:40,1.46723,1.46755,1.46721,1.46736,400
2015.04.13,18:45,1.46736,1.46754,1.46732,1.46734,385
2015.04.13,18:50,1.46734,1.46762,1.46733,1.46759,341
2015.04.13,18:55,1.46758,1.46777,1.46734,1.46761,546
2015.04.13,19:00,1.46763,1.46766,1.46743,1.46763,484
2015.04.13,19:05,1.46764,1.46791,1.46711,1.46724,548
2015.04.13,19:10,1.46723,1.4675,1.46722,1.46743,518
2015.04.13,19:15,1.46744,1.46757,1.46728,1.46744,407
2015.04.13,19:20,1.46744,1.46751,1.4672,1.46729,277
2015.04.13,19:25,1.46729,1.46788,1.46729,1.46774,305
2015.04.13,19:30,1.46775,1.46775,1.46756,1.46769,342
2015.04.13,19:35,1.46768,1.46787,1.46765,1.46779,244
2015.04.13,19:40,1.46779,1.46779,1.46774,1.46775,172
2015.04.13,19:45,1.46775,1.46779,1.46754,1.46764,425
